num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen
  EIN779;3;DUBLIN;DUB;2022-02-16;2022-03-23;18:50;320;IRLANDA;ACE
  RYR5911;6;DUBLIN;DUB;2022-03-05;2022-03-26;18:50;7M8;IRLANDA;ACE
  RYR7125;3;DUBLIN;DUB;2021-11-03;2022-03-23;19:15;73H;IRLANDA;ACE
  RYR7125;4;DUBLIN;DUB;2022-02-24;2022-03-24;19:15;73H;IRLANDA;ACE
  RYR7125;2;DUBLIN;DUB;2022-03-01;2022-03-22;19:40;7M8;IRLANDA;ACE
  EWG9555;4;DUSSELDORF;DUS;2022-02-03;2022-03-24;11:35;32A;ALEMANIA;ACE
  CXI4064;6;DUSSELDORF;DUS;2022-01-22;2022-03-26;12:30;73H;ALEMANIA;ACE
  CXI4028;2;DUSSELDORF;DUS;2022-03-01;2022-03-22;12:30;73H;ALEMANIA;ACE
  CFG1421;5;DUSSELDORF;DUS;2022-03-04;2022-03-25;12:30;320;ALEMANIA;ACE
  CFG1456;2;DUSSELDORF;DUS;2022-03-01;2022-03-15;14:55;32B;ALEMANIA;ACE
  EWG9555;6;DUSSELDORF;DUS;2021-11-06;2022-03-26;15:10;32A;ALEMANIA;ACE
  TUI2293;7;DUSSELDORF;DUS;2022-02-20;2022-03-20;17:10;7S8;ALEMANIA;ACE
  RYR3173;1;EAST MIDLANDS;EMA;2022-02-07;2022-03-21;11:10;73H;REINO-UNIDO;ACE
  RYR3173;5;EAST MIDLANDS;EMA;2022-02-04;2022-03-25;11:45;73H;REINO-UNIDO;ACE
  EXS632;1;EAST MIDLANDS;EMA;2022-02-14;2022-03-21;15:30;73H;REINO-UNIDO;ACE
  EXS632;2;EAST MIDLANDS;EMA;2022-01-18;2022-03-22;15:50;73H;REINO-UNIDO;ACE
  EXS632;4;EAST MIDLANDS;EMA;2021-12-30;2022-03-24;16:00;73H;REINO-UNIDO;ACE
  RYR3173;7;EAST MIDLANDS;EMA;2022-02-06;2022-03-20;19:40;73H;REINO-UNIDO;ACE
  RYR8685;6;EAST MIDLANDS;EMA;2022-03-05;2022-03-26;19:40;73H;REINO-UNIDO;ACE
  RYR6627;7;EDIMBURGO/ TURNHOUSE;EDI;2022-01-02;2022-03-20;11:25;73H;REINO-UNIDO;ACE
  RYR6627;4;EDIMBURGO/ TURNHOUSE;EDI;2021-12-23;2022-03-24;12:05;73H;REINO-UNIDO;ACE
  EXS706;4;EDIMBURGO/ TURNHOUSE;EDI;2021-11-04;2022-03-24;14:25;73H;REINO-UNIDO;ACE
  EXS706;2;EDIMBURGO/ TURNHOUSE;EDI;2022-01-18;2022-03-22;14:25;73H;REINO-UNIDO;ACE
  EXS706;6;EDIMBURGO/ TURNHOUSE;EDI;2022-01-08;2022-03-26;14:30;73H;REINO-UNIDO;ACE
  EXS706;7;EDIMBURGO/ TURNHOUSE;EDI;2022-01-16;2022-03-20;14:30;73H;REINO-UNIDO;ACE
  EZY6968;6;EDIMBURGO/ TURNHOUSE;EDI;2022-01-01;2022-03-26;17:05;320;REINO-UNIDO;ACE
  RYR6627;2;EDIMBURGO/ TURNHOUSE;EDI;2022-02-01;2022-03-22;19:45;73H;REINO-UNIDO;ACE
  EZY6968;3;EDIMBURGO/ TURNHOUSE;EDI;2022-02-09;2022-03-23;19:45;320;REINO-UNIDO;ACE
  TRA6358;6;EINDHOVEN;EIN;2022-01-08;2022-03-26;11:00;73H;HOLANDA;ACE
  TFL593;6;EINDHOVEN;EIN;2021-11-06;2022-03-26;13:05;73H;HOLANDA;ACE
  TFL595;3;EINDHOVEN;EIN;2021-11-10;2022-03-23;15:05;73H;HOLANDA;ACE
  VOE2171;6;ESTRASBURGO /ENTZHEIM;SXB;2022-02-12;2022-03-26;9:50;319;FRANCIA;ACE
  RYR1587;5;FRANKFURT/INTERNACIONAL;FRA;2021-11-05;2022-03-25;11:15;73H;ALEMANIA;ACE
  RYR1587;7;FRANKFURT/INTERNACIONAL;FRA;2022-02-06;2022-03-20;11:15;73H;ALEMANIA;ACE
  CFG1402;2;FRANKFURT/INTERNACIONAL;FRA;2022-03-08;2022-03-22;12:10;32B;ALEMANIA;ACE
  CFG1478;5;FRANKFURT/INTERNACIONAL;FRA;2022-03-04;2022-03-25;12:45;75T;ALEMANIA;ACE
  EXS168;6;GLASGOW /GLASGOW INTERNACIONAL;GLA;2022-01-08;2022-03-26;15:00;73H;REINO-UNIDO;ACE
  EXS168;2;GLASGOW /GLASGOW INTERNACIONAL;GLA;2022-03-01;2022-03-22;15:00;73H;REINO-UNIDO;ACE
  RYR6154;1;GLASGOW /PRESTWICK;PIK;2022-02-07;2022-03-21;16:20;73H;REINO-UNIDO;ACE
  RYR6154;6;GLASGOW /PRESTWICK;PIK;2022-02-05;2022-03-26;20:30;73H;REINO-UNIDO;ACE
  IBB503;5;GRAN CANARIA;LPA;2022-01-14;2022-03-25;7:00;AT7;ESPANIA;ACE
  IBB501;1;GRAN CANARIA;LPA;2021-12-13;2022-03-21;8:15;AT7;ESPANIA;ACE
  IBB501;4;GRAN CANARIA;LPA;2022-01-13;2022-03-24;8:15;AT7;ESPANIA;ACE
  IBB505;2;GRAN CANARIA;LPA;2022-03-08;2022-03-22;9:30;AT7;ESPANIA;ACE
  IBB513;5;GRAN CANARIA;LPA;2022-01-14;2022-03-25;12:00;AT7;ESPANIA;ACE
  IBB515;5;GRAN CANARIA;LPA;2022-03-04;2022-03-25;12:30;AT7;ESPANIA;ACE
  IBB517;5;GRAN CANARIA;LPA;2021-12-10;2022-03-25;13:15;AT7;ESPANIA;ACE
  IBB517;7;GRAN CANARIA;LPA;2022-01-09;2022-03-20;13:15;AT7;ESPANIA;ACE
  IBB507;5;GRAN CANARIA;LPA;2022-01-14;2022-03-25;13:45;AT7;ESPANIA;ACE
  IBB511;1;GRAN CANARIA;LPA;2021-11-01;2022-03-21;14:30;AT7;ESPANIA;ACE
  IBB519;3;GRAN CANARIA;LPA;2021-12-15;2022-03-23;15:45;AT7;ESPANIA;ACE
  IBB519;6;GRAN CANARIA;LPA;2022-03-05;2022-03-26;15:45;AT7;ESPANIA;ACE
