Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Origen
EINDHOVEN;EIN;     S ;08/01/2022;26/03/2022;11:00;73H;  TRA6358;HOLANDA;ACE
EINDHOVEN;EIN;  X    ;02/03/2022;02/03/2022;11:00;73H;  TRA6358;HOLANDA;ACE
EINDHOVEN;EIN;     S ;06/11/2021;26/03/2022;13:05;73H;  TFL593;HOLANDA;ACE
EINDHOVEN;EIN;  X    ;10/11/2021;23/03/2022;15:05;73H;  TFL595;HOLANDA;ACE
ESTRASBURGO /ENTZHEIM;SXB;     S ;12/02/2022;26/03/2022;9:50;319;  VOE2171;FRANCIA;ACE
FRANKFURT/INTERNACIONAL;FRA;    V  ;05/11/2021;25/03/2022;11:15;73H;  RYR1587;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA;      D;06/02/2022;20/03/2022;11:15;73H;  RYR1587;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA; M     ;01/03/2022;01/03/2022;11:45;75T;  CFG1402;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA; M     ;08/03/2022;22/03/2022;12:10;32B;  CFG1402;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA;    V  ;04/03/2022;25/03/2022;12:45;75T;  CFG1478;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA;   J S ;03/03/2022;12/03/2022;14:05;32A;  OCN309;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA;  X   D;13/02/2022;23/03/2022;17:25;73H;  TUI2187;ALEMANIA;ACE
GLASGOW /GLASGOW INTERNACIONAL;GLA;   J  D;26/12/2021;24/03/2022;15:00;73H;  EXS168;REINO UNIDO;ACE
GLASGOW /GLASGOW INTERNACIONAL;GLA;     S ;08/01/2022;26/03/2022;15:00;73H;  EXS168;REINO UNIDO;ACE
GLASGOW /GLASGOW INTERNACIONAL;GLA; M     ;01/03/2022;22/03/2022;15:00;73H;  EXS168;REINO UNIDO;ACE
GLASGOW /PRESTWICK;PIK;L      ;07/02/2022;21/03/2022;16:20;73H;  RYR6154;REINO UNIDO;ACE
GLASGOW /PRESTWICK;PIK;     S ;05/02/2022;26/03/2022;20:30;73H;  RYR6154;REINO UNIDO;ACE
GRAN CANARIA;LPA;    V  ;14/01/2022;25/03/2022;7:00;AT7;  IBB503;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJ SD;02/03/2022;26/03/2022;7:00;AT7;  IBB503;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJVSD;31/10/2021;26/03/2022;8:15;AT7;  CNF704;ESPAÑA;ACE
GRAN CANARIA;LPA; MX VSD;31/10/2021;26/03/2022;8:15;AT7;  IBB501;ESPAÑA;ACE
GRAN CANARIA;LPA;L      ;13/12/2021;21/03/2022;8:15;AT7;  IBB501;ESPAÑA;ACE
GRAN CANARIA;LPA;   J   ;13/01/2022;24/03/2022;8:15;AT7;  IBB501;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJV  ;02/03/2022;25/03/2022;8:45;AT7;  IBB521;ESPAÑA;ACE
GRAN CANARIA;LPA;L  JV  ;01/11/2021;25/03/2022;9:30;AT7;  IBB505;ESPAÑA;ACE
GRAN CANARIA;LPA;  X  S ;08/01/2022;26/03/2022;9:30;AT7;  IBB505;ESPAÑA;ACE
GRAN CANARIA;LPA; M     ;08/03/2022;22/03/2022;9:30;AT7;  IBB505;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJVSD;01/03/2022;26/03/2022;10:45;AT7;  IBB591;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJ   ;02/03/2022;24/03/2022;11:15;AT7;  IBB509;ESPAÑA;ACE
GRAN CANARIA;LPA;    V  ;14/01/2022;25/03/2022;12:00;AT7;  IBB513;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJ SD;01/03/2022;26/03/2022;12:00;AT7;  IBB513;ESPAÑA;ACE
GRAN CANARIA;LPA;    V  ;04/03/2022;25/03/2022;12:30;AT7;  IBB515;ESPAÑA;ACE
GRAN CANARIA;LPA;LMXJVSD;31/10/2021;26/03/2022;13:15;AT7;  CNF730;ESPAÑA;ACE
