num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  IBB627;2022-03-13;LA PALMA /STA.CRUZ DE LA PALMA;SPC;20:15;AT7;ESPANIA;TFN
  IBB454;2022-03-11;LANZAROTE CÉSAR MANRIQUE;ACE;12:40;AT7;ESPANIA;TFN
  IBB470;2022-03-11;LANZAROTE CÉSAR MANRIQUE;ACE;14:00;AT7;ESPANIA;TFN
  IBB476;2022-03-13;LANZAROTE CÉSAR MANRIQUE;ACE;15:20;AT7;ESPANIA;TFN
  IBB474;2022-03-09;LANZAROTE CÉSAR MANRIQUE;ACE;16:50;AT7;ESPANIA;TFN
  IBB484;2022-03-13;LANZAROTE CÉSAR MANRIQUE;ACE;19:30;AT7;ESPANIA;TFN
  IBB486;2022-03-13;LANZAROTE CÉSAR MANRIQUE;ACE;20:40;AT7;ESPANIA;TFN
  IBB486;2022-03-11;LANZAROTE CÉSAR MANRIQUE;ACE;20:40;AT7;ESPANIA;TFN
  IBE3945;2022-03-13;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;7:00;321;ESPANIA;TFN
  IBE3945;2022-03-08;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;7:00;321;ESPANIA;TFN
  RYR5279;2022-03-10;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;8:55;73H;ESPANIA;TFN
  RYR5279;2022-03-12;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;9:05;73H;ESPANIA;TFN
  RYR5279;2022-03-07;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;9:15;73H;ESPANIA;TFN
  RYR5279;2022-03-13;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;9:15;73H;ESPANIA;TFN
  IBE3961;2022-03-09;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;9:55;321;ESPANIA;TFN
  IBE3943;2022-03-10;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;11:15;321;ESPANIA;TFN
  IBE3937;2022-03-09;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;14:20;321;ESPANIA;TFN
  AEA9049;2022-03-13;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;14:55;73H;ESPANIA;TFN
  IBE3955;2022-03-12;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;16:15;320;ESPANIA;TFN
  IBE3955;2022-03-07;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;16:15;320;ESPANIA;TFN
  IBE3955;2022-03-09;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;16:15;320;ESPANIA;TFN
  IBE3955;2022-03-10;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;16:15;320;ESPANIA;TFN
  IBE3955;2022-03-08;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;16:15;320;ESPANIA;TFN
  AEA9117;2022-03-13;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;17:55;789;ESPANIA;TFN
  RYR5279;2022-03-11;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;19:00;73H;ESPANIA;TFN
  IBE3939;2022-03-08;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;19:05;320;ESPANIA;TFN
  RYR5279;2022-03-08;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;20:25;73H;ESPANIA;TFN
  RYR5279;2022-03-09;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;21:00;73H;ESPANIA;TFN
  VLG3275;2022-03-11;MALAGA-COSTA DEL SOL;AGP;7:10;320;ESPANIA;TFN
  VLG3275;2022-03-09;MALAGA-COSTA DEL SOL;AGP;7:30;320;ESPANIA;TFN
  VLG3275;2022-03-07;MALAGA-COSTA DEL SOL;AGP;9:00;320;ESPANIA;TFN
  VLG3275;2022-03-13;MALAGA-COSTA DEL SOL;AGP;11:20;320;ESPANIA;TFN
  VLG3277;2022-03-10;MALAGA-COSTA DEL SOL;AGP;15:15;320;ESPANIA;TFN
  VLG3277;2022-03-11;MALAGA-COSTA DEL SOL;AGP;16:35;320;ESPANIA;TFN
  IBB5150;2022-03-09;PALMA DE MALLORCA;PMI;8:15;295;ESPANIA;TFN
  IBB5150;2022-03-12;PALMA DE MALLORCA;PMI;15:00;295;ESPANIA;TFN
  IBB5450;2022-03-08;PAMPLONA;PNA;15:30;295;ESPANIA;TFN
  IBB5950;2022-03-07;SANTANDER-SEVE BALLESTEROS;SDR;8:15;295;ESPANIA;TFN
  IBB5950;2022-03-09;SANTANDER-SEVE BALLESTEROS;SDR;16:00;295;ESPANIA;TFN
  VLG3222;2022-03-13;SANTIAGO-ROSALÍA DE CASTRO;SCQ;7:20;320;ESPANIA;TFN
  VLG3224;2022-03-07;SANTIAGO-ROSALÍA DE CASTRO;SCQ;7:20;320;ESPANIA;TFN
  VLG3222;2022-03-11;SANTIAGO-ROSALÍA DE CASTRO;SCQ;9:30;320;ESPANIA;TFN
  VLG3222;2022-03-09;SANTIAGO-ROSALÍA DE CASTRO;SCQ;14:30;320;ESPANIA;TFN
  VLG3257;2022-03-09;SEVILLA;SVQ;8:45;320;ESPANIA;TFN
  VLG3257;2022-03-11;SEVILLA;SVQ;8:45;320;ESPANIA;TFN
  VLG3257;2022-03-12;SEVILLA;SVQ;8:45;320;ESPANIA;TFN
  VLG3255;2022-03-10;SEVILLA;SVQ;13:45;320;ESPANIA;TFN
