num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen
  NOS1620;2022-03-07 00:00:00;MILAN /MALPENSA;MXP;2022-03-07;2022-03-07;15:10;7S8;ITALIA;FUE
  EJU2914;2022-03-08 00:00:00;MILAN /MALPENSA;MXP;2022-03-01;2022-03-15;17:55;320;ITALIA;FUE
  RYR8807;2022-03-08 00:00:00;MILAN/BERGAMO;BGY;2022-02-15;2022-03-22;10:35;73H;ITALIA;FUE
  TUI2163;2022-03-07 00:00:00;MUNICH /FRANZ JOSEF STRAUSS;MUC;2022-02-14;2022-03-21;16:55;7S8;ALEMANIA;FUE
  EXS522;2022-03-07 00:00:00;NEWCASTLE;NCL;2022-02-14;2022-03-21;15:10;73H;REINO-UNIDO;FUE
  CXI2114;2022-03-07 00:00:00;NUREMBERG;NUE;2022-03-07;2022-03-07;13:40;73H;ALEMANIA;FUE
  TVF3293;2022-03-08 00:00:00;PARIS /ORLY;ORY;2022-02-15;2022-03-22;10:40;73H;FRANCIA;FUE
  EJU3860;2022-03-08 00:00:00;PARIS/ CHARLES DE GAULLE;CDG;2022-02-08;2022-03-22;11:50;320;FRANCIA;FUE
  RYR9423;2022-03-07 00:00:00;PISA / GALILEO GALILEI;PSA;2022-02-07;2022-03-21;10:25;73H;ITALIA;FUE
  ENT7102;2022-03-07 00:00:00;POZNAN /LAWICA;POZ;2021-11-01;2022-03-21;14:25;738;POLONIA;FUE
  TFL621;2022-03-08 00:00:00;ROTTERDAM;RTM;2022-03-08;2022-03-22;15:40;73H;HOLANDA;FUE
  RYR4698;2022-03-07 00:00:00;SANTIAGO-ROSALÍA DE CASTRO;SCQ;2022-03-07;2022-03-21;9:25;73H;ESPANIA;FUE
  VLG1641;2022-03-08 00:00:00;SANTIAGO-ROSALÍA DE CASTRO;SCQ;2022-03-01;2022-03-08;19:20;320;ESPANIA;FUE
  TUI2168;2022-03-07 00:00:00;STUTTGART/ ECHTERDINGEN;STR;2022-03-07;2022-03-14;16:50;7S8;ALEMANIA;FUE
  NOS1764;2022-03-07 00:00:00;VERONA /VILLAFRANCA;VRN;2022-03-07;2022-03-21;11:25;7S8;ITALIA;FUE
  ENT5578;2022-03-07 00:00:00;WROCLAW /STRACHOWICE;WRO;2022-01-31;2022-03-21;13:30;738;POLONIA;FUE
  EDW213;2022-03-08 00:00:00;ZURICH;ZRH;2022-03-01;2022-03-22;16:30;320;SUIZA;FUE
  SDR3229;2022-03-08 00:00:00;BERLIN BRANDENBURG;BER;2022-03-08;2022-03-22;15:25;320;ALEMANIA;FUE
  DTR493;2022-03-07 00:00:00;BILLUND;BLL;2021-11-01;2022-03-21;13:15;320;DINAMARCA;FUE
  SDR3289;2022-03-07 00:00:00;BREMEN;BRE;2022-03-07;2022-03-21;13:55;320;ALEMANIA;FUE
  TVP7305;2022-03-07 00:00:00;CHOPINA W WARSZAWIE;WAW;2022-03-07;2022-03-21;13:50;73H;POLONIA;FUE
  TVP7397;2022-03-07 00:00:00;CHOPINA W WARSZAWIE;WAW;2021-12-13;2022-03-21;14:00;7M8;POLONIA;FUE
