num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  AEA7029;2022-03-11;BILBAO;BIO;13:20;73H;ESPANIA;ACE
  AEA7029;2022-03-12;BILBAO;BIO;13:20;73H;ESPANIA;ACE
  AEA7029;2022-03-07;BILBAO;BIO;13:20;73H;ESPANIA;ACE
  VLG3281;2022-03-12;BILBAO;BIO;13:50;320;ESPANIA;ACE
  RYR1449;2022-03-11;BIRMINGHAM / INTERNACIONAL;BHX;10:45;73H;REINO-UNIDO;ACE
  EXS1202;2022-03-13;BIRMINGHAM / INTERNACIONAL;BHX;11:10;73H;REINO-UNIDO;ACE
  RYR1449;2022-03-13;BIRMINGHAM / INTERNACIONAL;BHX;11:30;73H;REINO-UNIDO;ACE
  EXS1202;2022-03-07;BIRMINGHAM / INTERNACIONAL;BHX;14:20;73H;REINO-UNIDO;ACE
  EXS1202;2022-03-10;BIRMINGHAM / INTERNACIONAL;BHX;14:20;73H;REINO-UNIDO;ACE
  EXS1202;2022-03-09;BIRMINGHAM / INTERNACIONAL;BHX;14:20;73H;REINO-UNIDO;ACE
  EXS1304;2022-03-13;BIRMINGHAM / INTERNACIONAL;BHX;17:55;73H;REINO-UNIDO;ACE
  EXS1304;2022-03-12;BIRMINGHAM / INTERNACIONAL;BHX;19:35;73H;REINO-UNIDO;ACE
  RYR1449;2022-03-09;BIRMINGHAM / INTERNACIONAL;BHX;19:55;73H;REINO-UNIDO;ACE
  RYR4896;2022-03-09;BOLONIA/ GUGLIELMO MARCONI;BLQ;17:10;7M8;ITALIA;ACE
  RYR4896;2022-03-12;BOLONIA/ GUGLIELMO MARCONI;BLQ;18:05;7M8;ITALIA;ACE
  RYR4996;2022-03-12;BRATISLAVA/ IVANKA;BTS;16:25;73H;ESLOVAQUIA;ACE
  EZY6194;2022-03-10;BRISTOL;BRS;10:50;320;REINO-UNIDO;ACE
  EZY6194;2022-03-08;BRISTOL;BRS;10:55;320;REINO-UNIDO;ACE
  EZY6194;2022-03-12;BRISTOL;BRS;11:40;320;REINO-UNIDO;ACE
  RYR4756;2022-03-13;BRISTOL;BRS;12:45;73H;REINO-UNIDO;ACE
  EXS1802;2022-03-08;BRISTOL;BRS;12:45;73H;REINO-UNIDO;ACE
  RYR4756;2022-03-09;BRISTOL;BRS;17:50;73H;REINO-UNIDO;ACE
  RYR4756;2022-03-11;BRISTOL;BRS;17:50;73H;REINO-UNIDO;ACE
  RYR4756;2022-03-07;BRISTOL;BRS;18:20;73H;REINO-UNIDO;ACE
  JAF1702;2022-03-12;BRUSELAS;BRU;10:05;73W;BELGICA;ACE
  JAF1711;2022-03-09;BRUSELAS;BRU;10:40;7M8;BELGICA;ACE
  BEL3788;2022-03-12;BRUSELAS;BRU;18:15;320;BELGICA;ACE
  BEL3788;2022-03-10;BRUSELAS;BRU;19:15;320;BELGICA;ACE
  RYR8175;2022-03-08;BRUSELAS/CHARLEROI;CRL;16:20;7M8;BELGICA;ACE
  RYR8175;2022-03-12;BRUSELAS/CHARLEROI;CRL;16:55;73H;BELGICA;ACE
  EJU7472;2022-03-12;BURDEOS;BOD;15:05;320;FRANCIA;ACE
  EJU7472;2022-03-08;BURDEOS;BOD;17:10;320;FRANCIA;ACE
  VOE2487;2022-03-12;BURDEOS;BOD;18:55;319;FRANCIA;ACE
  CXI1072;2022-03-13;COLONIA/BONN;CGN;10:30;73H;ALEMANIA;ACE
  EWG261;2022-03-13;COLONIA/BONN;CGN;11:05;32A;ALEMANIA;ACE
  CXI1038;2022-03-09;COLONIA/BONN;CGN;14:30;73H;ALEMANIA;ACE
  EWG261;2022-03-08;COLONIA/BONN;CGN;15:50;73H;ALEMANIA;ACE
  VLG2232;2022-03-12;COPENHAGUE;CPH;11:05;320;DINAMARCA;ACE
  EIN877;2022-03-08;CORK;ORK;17:25;320;IRLANDA;ACE
  EIN877;2022-03-12;CORK;ORK;17:55;320;IRLANDA;ACE
  RYR9944;2022-03-08;CORK;ORK;20:05;73H;IRLANDA;ACE
  RYR9944;2022-03-12;CORK;ORK;20:05;73H;IRLANDA;ACE
  WUK5926;2022-03-10;DONCASTER SHEFFIELD ROBIN HOOD;DSA;11:10;321;REINO-UNIDO;ACE
  RYR7125;2022-03-12;DUBLIN;DUB;11:10;7M8;IRLANDA;ACE
  EIN777;2022-03-13;DUBLIN;DUB;11:45;320;IRLANDA;ACE
  RYR7125;2022-03-11;DUBLIN;DUB;12:00;73H;IRLANDA;ACE
  RYR7125;2022-03-07;DUBLIN;DUB;12:05;73H;IRLANDA;ACE
  EIN777;2022-03-12;DUBLIN;DUB;12:10;320;IRLANDA;ACE
  RYR5911;2022-03-13;DUBLIN;DUB;12:25;7M8;IRLANDA;ACE
  EIN779;2022-03-12;DUBLIN;DUB;17:55;320;IRLANDA;ACE
  RYR7125;2022-03-13;DUBLIN;DUB;18:45;73H;IRLANDA;ACE
  EIN779;2022-03-07;DUBLIN;DUB;18:50;320;IRLANDA;ACE
  EIN779;2022-03-09;DUBLIN;DUB;18:50;320;IRLANDA;ACE
  RYR5911;2022-03-12;DUBLIN;DUB;18:50;7M8;IRLANDA;ACE
  RYR7125;2022-03-09;DUBLIN;DUB;19:15;73H;IRLANDA;ACE
  RYR7125;2022-03-10;DUBLIN;DUB;19:15;73H;IRLANDA;ACE
  RYR7125;2022-03-08;DUBLIN;DUB;19:40;7M8;IRLANDA;ACE
  EWG9555;2022-03-10;DUSSELDORF;DUS;11:35;32A;ALEMANIA;ACE
  CXI4064;2022-03-12;DUSSELDORF;DUS;12:30;73H;ALEMANIA;ACE
  CXI4028;2022-03-08;DUSSELDORF;DUS;12:30;73H;ALEMANIA;ACE
  CFG1421;2022-03-11;DUSSELDORF;DUS;12:30;320;ALEMANIA;ACE
  CFG1456;2022-03-08;DUSSELDORF;DUS;14:55;32B;ALEMANIA;ACE
  EWG9555;2022-03-12;DUSSELDORF;DUS;15:10;32A;ALEMANIA;ACE
  TUI2293;2022-03-13;DUSSELDORF;DUS;17:10;7S8;ALEMANIA;ACE
  RYR3173;2022-03-07;EAST MIDLANDS;EMA;11:10;73H;REINO-UNIDO;ACE
  RYR3173;2022-03-11;EAST MIDLANDS;EMA;11:45;73H;REINO-UNIDO;ACE
  EXS632;2022-03-07;EAST MIDLANDS;EMA;15:30;73H;REINO-UNIDO;ACE
  EXS632;2022-03-08;EAST MIDLANDS;EMA;15:50;73H;REINO-UNIDO;ACE
  EXS632;2022-03-10;EAST MIDLANDS;EMA;16:00;73H;REINO-UNIDO;ACE
  RYR3173;2022-03-13;EAST MIDLANDS;EMA;19:40;73H;REINO-UNIDO;ACE
  RYR8685;2022-03-12;EAST MIDLANDS;EMA;19:40;73H;REINO-UNIDO;ACE
  RYR6627;2022-03-13;EDIMBURGO/ TURNHOUSE;EDI;11:25;73H;REINO-UNIDO;ACE
  RYR6627;2022-03-10;EDIMBURGO/ TURNHOUSE;EDI;12:05;73H;REINO-UNIDO;ACE
  EXS706;2022-03-10;EDIMBURGO/ TURNHOUSE;EDI;14:25;73H;REINO-UNIDO;ACE
  EXS706;2022-03-08;EDIMBURGO/ TURNHOUSE;EDI;14:25;73H;REINO-UNIDO;ACE
  EXS706;2022-03-12;EDIMBURGO/ TURNHOUSE;EDI;14:30;73H;REINO-UNIDO;ACE
  EXS706;2022-03-13;EDIMBURGO/ TURNHOUSE;EDI;14:30;73H;REINO-UNIDO;ACE
  EZY6968;2022-03-12;EDIMBURGO/ TURNHOUSE;EDI;17:05;320;REINO-UNIDO;ACE
  RYR6627;2022-03-08;EDIMBURGO/ TURNHOUSE;EDI;19:45;73H;REINO-UNIDO;ACE
  EZY6968;2022-03-09;EDIMBURGO/ TURNHOUSE;EDI;19:45;320;REINO-UNIDO;ACE
  TRA6358;2022-03-12;EINDHOVEN;EIN;11:00;73H;HOLANDA;ACE
  TFL593;2022-03-12;EINDHOVEN;EIN;13:05;73H;HOLANDA;ACE
  TFL595;2022-03-09;EINDHOVEN;EIN;15:05;73H;HOLANDA;ACE
  VOE2171;2022-03-12;ESTRASBURGO /ENTZHEIM;SXB;9:50;319;FRANCIA;ACE
  RYR1587;2022-03-11;FRANKFURT/INTERNACIONAL;FRA;11:15;73H;ALEMANIA;ACE
  RYR1587;2022-03-13;FRANKFURT/INTERNACIONAL;FRA;11:15;73H;ALEMANIA;ACE
  CFG1402;2022-03-08;FRANKFURT/INTERNACIONAL;FRA;12:10;32B;ALEMANIA;ACE
  CFG1478;2022-03-11;FRANKFURT/INTERNACIONAL;FRA;12:45;75T;ALEMANIA;ACE
  EXS168;2022-03-12;GLASGOW /GLASGOW INTERNACIONAL;GLA;15:00;73H;REINO-UNIDO;ACE
  EXS168;2022-03-08;GLASGOW /GLASGOW INTERNACIONAL;GLA;15:00;73H;REINO-UNIDO;ACE
  RYR6154;2022-03-07;GLASGOW /PRESTWICK;PIK;16:20;73H;REINO-UNIDO;ACE
  RYR6154;2022-03-12;GLASGOW /PRESTWICK;PIK;20:30;73H;REINO-UNIDO;ACE
  IBB503;2022-03-11;GRAN CANARIA;LPA;7:00;AT7;ESPANIA;ACE
  IBB501;2022-03-07;GRAN CANARIA;LPA;8:15;AT7;ESPANIA;ACE
  IBB501;2022-03-10;GRAN CANARIA;LPA;8:15;AT7;ESPANIA;ACE
  IBB505;2022-03-08;GRAN CANARIA;LPA;9:30;AT7;ESPANIA;ACE
  IBB513;2022-03-11;GRAN CANARIA;LPA;12:00;AT7;ESPANIA;ACE
  IBB515;2022-03-11;GRAN CANARIA;LPA;12:30;AT7;ESPANIA;ACE
  IBB517;2022-03-11;GRAN CANARIA;LPA;13:15;AT7;ESPANIA;ACE
  IBB517;2022-03-13;GRAN CANARIA;LPA;13:15;AT7;ESPANIA;ACE
  IBB507;2022-03-11;GRAN CANARIA;LPA;13:45;AT7;ESPANIA;ACE
  IBB511;2022-03-07;GRAN CANARIA;LPA;14:30;AT7;ESPANIA;ACE
  IBB519;2022-03-09;GRAN CANARIA;LPA;15:45;AT7;ESPANIA;ACE
  IBB519;2022-03-12;GRAN CANARIA;LPA;15:45;AT7;ESPANIA;ACE
  IBB523;2022-03-09;GRAN CANARIA;LPA;17:00;AT7;ESPANIA;ACE
  IBB523;2022-03-11;GRAN CANARIA;LPA;17:00;AT7;ESPANIA;ACE
  IBB523;2022-03-12;GRAN CANARIA;LPA;17:00;AT7;ESPANIA;ACE
  IBB525;2022-03-11;GRAN CANARIA;LPA;18:15;AT7;ESPANIA;ACE
  IBB531;2022-03-11;GRAN CANARIA;LPA;19:30;AT7;ESPANIA;ACE
  IBB537;2022-03-12;GRAN CANARIA;LPA;21:30;AT7;ESPANIA;ACE
  EWG7089;2022-03-13;HAMBURGO/ FUHLSBUETTEL;HAM;11:10;32A;ALEMANIA;ACE
  CFG1439;2022-03-11;HAMBURGO/ FUHLSBUETTEL;HAM;13:45;320;ALEMANIA;ACE
  EWG7089;2022-03-08;HAMBURGO/ FUHLSBUETTEL;HAM;14:45;32A;ALEMANIA;ACE
  CFG1439;2022-03-08;HAMBURGO/ FUHLSBUETTEL;HAM;15:20;320;ALEMANIA;ACE
  CXI2249;2022-03-11;HANNOVER;HAJ;11:45;73H;ALEMANIA;ACE
  TUI2188;2022-03-09;HANNOVER;HAJ;12:15;7S8;ALEMANIA;ACE
  CXI2226;2022-03-08;HANNOVER;HAJ;17:35;73H;ALEMANIA;ACE
  TUI2189;2022-03-13;HANNOVER;HAJ;19:05;7S8;ALEMANIA;ACE
  ENT7502;2022-03-12;KATOWICE / PYRZOWICE;KTW;19:00;738;POLONIA;ACE
  EXS218;2022-03-12;LEEDS /LEEDS-BRADFORD;LBA;15:10;73H;REINO-UNIDO;ACE
  EXS218;2022-03-08;LEEDS /LEEDS-BRADFORD;LBA;15:10;73H;REINO-UNIDO;ACE
  EXS218;2022-03-10;LEEDS /LEEDS-BRADFORD;LBA;15:55;73H;REINO-UNIDO;ACE
  RYR3603;2022-03-12;LISBOA;LIS;9:20;73H;PORTUGAL;ACE
  RYR3603;2022-03-10;LISBOA;LIS;9:50;73H;PORTUGAL;ACE
  RYR3603;2022-03-08;LISBOA;LIS;14:50;73H;PORTUGAL;ACE
  RYR3812;2022-03-08;LIVERPOOL /INTERNACIONAL;LPL;11:05;73H;REINO-UNIDO;ACE
  RYR3812;2022-03-10;LIVERPOOL /INTERNACIONAL;LPL;11:20;73H;REINO-UNIDO;ACE
  RYR3812;2022-03-12;LIVERPOOL /INTERNACIONAL;LPL;11:30;73H;REINO-UNIDO;ACE
  EZY7154;2022-03-13;LIVERPOOL /INTERNACIONAL;LPL;11:55;320;REINO-UNIDO;ACE
  EZY7154;2022-03-08;LIVERPOOL /INTERNACIONAL;LPL;18:45;320;REINO-UNIDO;ACE
