Num_vuelo;dia_sem_sep;Destino;Codigo;Hora_Salida;Aeronave;Pais;Origen
  RYR2018;2018-11-05;MADRID-BARAJAS ADOLFO SUAREZ;MAD;19:00;73H;MADRID-BARAJAS ADOLFO SUAREZ;ACE
  RYR2018;2018-11-04;MADRID-BARAJAS ADOLFO SUAREZ;MAD;19:00;73H;MADRID-BARAJAS ADOLFO SUAREZ;ACE
  RYR2018;2018-11-07;MADRID-BARAJAS ADOLFO SUAREZ;MAD;19:00;73H;MADRID-BARAJAS ADOLFO SUAREZ;ACE
  RYR2018;2018-11-03;MADRID-BARAJAS ADOLFO SUAREZ;MAD;19:00;73H;MADRID-BARAJAS ADOLFO SUAREZ;ACE
  VLG3141;2018-11-06;MALAGA-COSTA DEL SOL;AGP;13:50;320;MALAGA-COSTA DEL SOL;ACE
  VLG3141;2018-11-03;MALAGA-COSTA DEL SOL;AGP;13:50;320;MALAGA-COSTA DEL SOL;ACE
  RYR2132;2018-11-03;MANCHESTER /INTERNACIONAL;MAN;12:00;73H;REINO-UNIDO;ACE
  RYR2132;2018-11-01;MANCHESTER /INTERNACIONAL;MAN;12:00;73H;REINO-UNIDO;ACE
  RYR2132;2018-11-06;MANCHESTER /INTERNACIONAL;MAN;12:00;73H;REINO-UNIDO;ACE
  RYR2132;2018-11-02;MANCHESTER /INTERNACIONAL;MAN;12:00;73H;REINO-UNIDO;ACE
  RYR2132;2018-11-07;MANCHESTER /INTERNACIONAL;MAN;12:00;73H;REINO-UNIDO;ACE
  RYR2132;2018-11-04;MANCHESTER /INTERNACIONAL;MAN;12:00;73H;REINO-UNIDO;ACE
  TCX1699;2018-11-04;MANCHESTER /INTERNACIONAL;MAN;14:45;32B;REINO-UNIDO;ACE
  EZY1972;2018-11-07;MANCHESTER /INTERNACIONAL;MAN;17:35;320;REINO-UNIDO;ACE
  RYR4002;2018-11-02;MILAN/BERGAMO;BGY;19:00;73H;ITALIA;ACE
  RYR4002;2018-11-07;MILAN/BERGAMO;BGY;19:00;73H;ITALIA;ACE
  RYR4002;2018-11-04;MILAN/BERGAMO;BGY;19:00;73H;ITALIA;ACE
  TUI2843;2018-11-04;MUNICH /FRANZ JOSEF STRAUSS;MUC;10:15;7S8;ALEMANIA;ACE
  EWG1803;2018-11-07;MUNICH /FRANZ JOSEF STRAUSS;MUC;11:50;319;ALEMANIA;ACE
  EWG1803;2018-11-04;MUNICH /FRANZ JOSEF STRAUSS;MUC;11:50;319;ALEMANIA;ACE
  EWG1803;2018-11-06;MUNICH /FRANZ JOSEF STRAUSS;MUC;11:50;319;ALEMANIA;ACE
  CFG1401;2018-11-02;MUNICH /FRANZ JOSEF STRAUSS;MUC;17:00;320;ALEMANIA;ACE
  TCX1369;2018-11-01;NEWCASTLE;NCL;15:55;32B;REINO-UNIDO;ACE
  VLG3190;2018-11-03;PARIS /ORLY;ORY;17:35;321;FRANCIA;ACE
  RYR1345;2018-11-04;SHANNON;SNN;12:10;73H;IRLANDA;ACE
  EIN923;2018-11-03;SHANNON;SNN;17:10;320;IRLANDA;ACE
  EWG2931;2018-11-03;STUTTGART/ ECHTERDINGEN;STR;11:10;32A;ALEMANIA;ACE
  IBB457;2018-11-04;TENERIFE NORTE/ LOS RODEOS;TFN;21:20;AT7;TENERIFE NORTE/ LOS RODEOS;ACE
  IBB457;2018-11-02;TENERIFE NORTE/ LOS RODEOS;TFN;21:20;AT7;TENERIFE NORTE/ LOS RODEOS;ACE
  IBB457;2018-11-01;TENERIFE NORTE/ LOS RODEOS;TFN;21:20;AT7;TENERIFE NORTE/ LOS RODEOS;ACE
  IBB457;2018-11-03;TENERIFE NORTE/ LOS RODEOS;TFN;21:20;AT7;TENERIFE NORTE/ LOS RODEOS;ACE
  EZY3312;2018-11-06;VENECIA /MARCO POLO;VCE;18:40;320;ITALIA;ACE
  EZY3312;2018-11-03;VENECIA /MARCO POLO;VCE;18:40;320;ITALIA;ACE
  EDW229;2018-11-04;ZURICH;ZRH;17:40;320;SUIZA;ACE
  EDW229;2018-11-06;ZURICH;ZRH;17:40;320;SUIZA;ACE
  EDW229;2018-11-01;ZURICH;ZRH;17:40;320;SUIZA;ACE
  NAX9173;2018-11-02;BERGEN/FLESLAND;BGO;15:50;73H;NORUEGA;ACE
  JTG632;2018-11-02;BILLUND;BLL;12:25;73W;DINAMARCA;ACE
  TOM7447;2018-11-01;BIRMINGHAM / INTERNACIONAL;BHX;14:50;75W;REINO-UNIDO;ACE
  TOM6427;2018-11-01;BOURNEMOUTH  INTL;BOH;12:45;73H;REINO-UNIDO;ACE
  TOM6465;2018-11-01;BRISTOL;BRS;14:50;75W;REINO-UNIDO;ACE
  TOM6423;2018-11-01;CARDIFF-WALES;CWL;15:40;73H;REINO-UNIDO;ACE
  TOM6707;2018-11-04;CARDIFF-WALES;CWL;20:00;73H;REINO-UNIDO;ACE
  JTG218;2018-11-02;COPENHAGUE;CPH;14:05;73H;DINAMARCA;ACE
  VKG1105;2018-11-02;COPENHAGUE;CPH;14:30;32B;DINAMARCA;ACE
  TOM3493;2018-11-01;DONCASTER SHEFFIELD ROBIN HOOD;DSA;19:55;73H;REINO-UNIDO;ACE
  TOM1455;2018-11-01;EDIMBURGO/ TURNHOUSE;EDI;17:05;73H;REINO-UNIDO;ACE
  BLX276;2018-11-02;ESTOCOLMO/ARLANDA;ARN;14:20;7M8;SUECIA;ACE
  BLX184;2018-11-05;ESTOCOLMO/ARLANDA;ARN;15:15;7M8;SUECIA;ACE
  TOM6463;2018-11-01;EXETER;EXT;11:50;73H;REINO-UNIDO;ACE
  TOM3513;2018-11-02;GOTEBORG /LANDVETTER;GOT;15:00;76W;SUECIA;ACE
  BLX660;2018-11-02;HELSINKI / HELSINKI-VANTAA;HEL;14:10;7M8;FINLANDIA;ACE
  TOM5421;2018-11-01;LONDRES /STANSTED;STN;14:35;73H;REINO-UNIDO;ACE
  TOM4461;2018-11-01;LONDRES/GATWICK;LGW;14:45;75W;REINO-UNIDO;ACE
  TOM4141;2018-11-05;LONDRES/GATWICK;LGW;15:00;73H;REINO-UNIDO;ACE
  TOM2251;2018-11-06;MANCHESTER /INTERNACIONAL;MAN;16:00;75W;REINO-UNIDO;ACE
  TOM1445;2018-11-01;NEWCASTLE;NCL;17:10;73H;REINO-UNIDO;ACE
  NAX9035;2018-11-02;OSLO / GARDERMOEN;OSL;14:40;7M8;NORUEGA;ACE
