;;Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Escala;Origen
W21;Destino;BRUSELAS/CHARLEROI;CRL;     S ;01/01/2022;26/03/2022;16:55;73H;  RYR8175;BELGICA;;ACE
W21;Destino;BURDEOS;BOD;     S ;06/11/2021;26/03/2022;15:05;320;  EJU7472;FRANCIA;;ACE
W21;Destino;BURDEOS;BOD; M     ;08/02/2022;22/03/2022;17:10;320;  EJU7472;FRANCIA;;ACE
W21;Destino;BURDEOS;BOD;     S ;12/02/2022;26/03/2022;18:55;319;  VOE2487;FRANCIA;;ACE
W21;Destino;COLONIA/BONN;CGN;      D;06/03/2022;20/03/2022;10:30;73H;  CXI1072;ALEMANIA;;ACE
W21;Destino;COLONIA/BONN;CGN;      D;31/10/2021;20/03/2022;11:05;32A;  EWG261;ALEMANIA;;ACE
W21;Destino;COLONIA/BONN;CGN;  X    ;23/02/2022;23/03/2022;14:30;73H;  CXI1038;ALEMANIA;;ACE
W21;Destino;COLONIA/BONN;CGN; M     ;01/03/2022;22/03/2022;15:50;73H;  EWG261;ALEMANIA;;ACE
W21;Destino;COPENHAGUE;CPH;     S ;05/03/2022;26/03/2022;11:05;320;  VLG2232;DINAMARCA;;ACE
W21;Destino;CORK;ORK; M     ;14/12/2021;22/03/2022;17:25;320;  EIN877;IRLANDA;;ACE
W21;Destino;CORK;ORK;     S ;08/01/2022;26/03/2022;17:55;320;  EIN877;IRLANDA;;ACE
W21;Destino;CORK;ORK; M     ;07/12/2021;22/03/2022;20:05;73H;  RYR9944;IRLANDA;;ACE
W21;Destino;CORK;ORK;     S ;01/01/2022;26/03/2022;20:05;73H;  RYR9944;IRLANDA;;ACE
W21;Destino;DONCASTER SHEFFIELD ROBIN HOOD;DSA;   J   ;10/02/2022;24/03/2022;11:10;321;  WUK5926;REINO UNIDO;;ACE
W21;Destino;DUBLIN;DUB;     S ;05/03/2022;26/03/2022;11:10;7M8;  RYR7125;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;      D;23/01/2022;20/03/2022;11:45;320;  EIN777;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;    V  ;25/02/2022;25/03/2022;12:00;73H;  RYR7125;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;L      ;01/11/2021;21/03/2022;12:05;73H;  RYR7125;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;     S ;01/01/2022;26/03/2022;12:10;320;  EIN777;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;      D;06/03/2022;20/03/2022;12:25;7M8;  RYR5911;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;     S ;01/01/2022;26/03/2022;17:55;320;  EIN779;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;      D;31/10/2021;20/03/2022;18:45;73H;  RYR7125;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB; M JV  ;02/11/2021;25/03/2022;18:50;320;  EIN779;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;L      ;10/01/2022;21/03/2022;18:50;320;  EIN779;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;  X    ;16/02/2022;23/03/2022;18:50;320;  EIN779;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;     S ;05/03/2022;26/03/2022;18:50;7M8;  RYR5911;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;  X    ;03/11/2021;23/03/2022;19:15;73H;  RYR7125;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB;   J   ;24/02/2022;24/03/2022;19:15;73H;  RYR7125;IRLANDA;;ACE
W21;Destino;DUBLIN;DUB; M     ;01/03/2022;22/03/2022;19:40;7M8;  RYR7125;IRLANDA;;ACE
W21;Destino;DUSSELDORF;DUS;   J   ;03/02/2022;24/03/2022;11:35;32A;  EWG9555;ALEMANIA;;ACE
W21;Destino;DUSSELDORF;DUS;     S ;22/01/2022;26/03/2022;12:30;73H;  CXI4064;ALEMANIA;;ACE
W21;Destino;DUSSELDORF;DUS; M     ;01/03/2022;22/03/2022;12:30;73H;  CXI4028;ALEMANIA;;ACE
W21;Destino;DUSSELDORF;DUS;    V  ;04/03/2022;25/03/2022;12:30;320;  CFG1421;ALEMANIA;;ACE
W21;Destino;DUSSELDORF;DUS; M     ;01/03/2022;15/03/2022;14:55;32B;  CFG1456;ALEMANIA;FUE;ACE
W21;Destino;DUSSELDORF;DUS;     S ;06/11/2021;26/03/2022;15:10;32A;  EWG9555;ALEMANIA;;ACE
W21;Destino;DUSSELDORF;DUS;      D;20/02/2022;20/03/2022;17:10;7S8;  TUI2293;ALEMANIA;;ACE
W21;Destino;EAST MIDLANDS;EMA;L      ;07/02/2022;21/03/2022;11:10;73H;  RYR3173;REINO UNIDO;;ACE
W21;Destino;EAST MIDLANDS;EMA;    V  ;04/02/2022;25/03/2022;11:45;73H;  RYR3173;REINO UNIDO;;ACE
W21;Destino;EAST MIDLANDS;EMA;     SD;09/01/2022;26/03/2022;15:20;73H;  EXS632;REINO UNIDO;;ACE
W21;Destino;EAST MIDLANDS;EMA;L      ;14/02/2022;21/03/2022;15:30;73H;  EXS632;REINO UNIDO;;ACE
W21;Destino;EAST MIDLANDS;EMA; M     ;18/01/2022;22/03/2022;15:50;73H;  EXS632;REINO UNIDO;;ACE
W21;Destino;EAST MIDLANDS;EMA;   J   ;30/12/2021;24/03/2022;16:00;73H;  EXS632;REINO UNIDO;;ACE
W21;Destino;EAST MIDLANDS;EMA;      D;06/02/2022;20/03/2022;19:40;73H;  RYR3173;REINO UNIDO;;ACE
W21;Destino;EAST MIDLANDS;EMA;     S ;05/03/2022;26/03/2022;19:40;73H;  RYR8685;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI;      D;02/01/2022;20/03/2022;11:25;73H;  RYR6627;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI;   J   ;23/12/2021;24/03/2022;12:05;73H;  RYR6627;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI;   J   ;04/11/2021;24/03/2022;14:25;73H;  EXS706;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI; M     ;18/01/2022;22/03/2022;14:25;73H;  EXS706;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI;     S ;08/01/2022;26/03/2022;14:30;73H;  EXS706;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI;      D;16/01/2022;20/03/2022;14:30;73H;  EXS706;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI;     S ;01/01/2022;26/03/2022;17:05;320;  EZY6968;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI; M     ;01/02/2022;22/03/2022;19:45;73H;  RYR6627;REINO UNIDO;;ACE
W21;Destino;EDIMBURGO/ TURNHOUSE;EDI;  X    ;09/02/2022;23/03/2022;19:45;320;  EZY6968;REINO UNIDO;;ACE
W21;Destino;EINDHOVEN;EIN;     S ;08/01/2022;26/03/2022;11:00;73H;  TRA6358;HOLANDA;;ACE
W21;Destino;EINDHOVEN;EIN;  X    ;02/03/2022;02/03/2022;11:00;73H;  TRA6358;HOLANDA;;ACE
W21;Destino;EINDHOVEN;EIN;     S ;06/11/2021;26/03/2022;13:05;73H;  TFL593;HOLANDA;FUE;ACE
W21;Destino;EINDHOVEN;EIN;  X    ;10/11/2021;23/03/2022;15:05;73H;  TFL595;HOLANDA;;ACE
W21;Destino;ESTRASBURGO /ENTZHEIM;SXB;     S ;12/02/2022;26/03/2022;9:50;319;  VOE2171;FRANCIA;;ACE
W21;Destino;FRANKFURT/INTERNACIONAL;FRA;    V  ;05/11/2021;25/03/2022;11:15;73H;  RYR1587;ALEMANIA;;ACE
W21;Destino;FRANKFURT/INTERNACIONAL;FRA;      D;06/02/2022;20/03/2022;11:15;73H;  RYR1587;ALEMANIA;;ACE
W21;Destino;FRANKFURT/INTERNACIONAL;FRA; M     ;01/03/2022;01/03/2022;11:45;75T;  CFG1402;ALEMANIA;FUE;ACE
W21;Destino;FRANKFURT/INTERNACIONAL;FRA; M     ;08/03/2022;22/03/2022;12:10;32B;  CFG1402;ALEMANIA;FUE;ACE
